offense_type,Arrest Within 1000
ARSON - FREE TEXT,0
ASSAULT - FREE TEXT,4
ASSAULT AND BATTERY,9
ASSAULT BY POINTING A GUN,7
ASSAULT BY STRANGULATION,22
ASSAULT INDIV W/ DISABILITY,3
ASSAULT INFLICT SERIOUS INJ(M),5
ASSAULT ON A FEMALE,106
ASSAULT WITH A DEADLY WEAPON,36
ATT ROBBERY-DANGEROUS WEAPON,0
ATTEMPTED COMMON LAW ROBBERY,0
ATTEMPTED LARCENY (F),2
ATTEMPTED LARCENY (M),4
BURGLARY - FREE TEXT,1
COMMON LAW ROBBERY,5
FELONY LARCENY,9
FIRST DEGREE ARSON,1
FIRST DEGREE BURGLARY,5
FIRST DEGREE FORCIBLE RAPE,0
LARC MERCHANT EXCH STOLEN PROP,0
LARCENY - FREE TEXT,0
LARCENY AFTER BREAK/ENTER,23
LARCENY OF A FIREARM,3
LARCENY OF MOTOR VEHICLE (F),24
MISDEMEANOR LARCENY,157
ROBBERY - FREE TEXT,0
ROBBERY WITH DANGEROUS WEAPON,5
SECOND DEGREE BURGLARY,2
SECOND DEGREE FORCIBLE RAPE,0
SECOND DEGREE RAPE,0
SHOPLIFTING CONCEALMENT GOODS,6
SIMPLE ASSAULT,105
STATUTORY RAPE OF CHILD <= 15,0
