Location,Geo
1 Regent Park Blvd,"(35.588882, -82.581891)"
100 Highland Center Blvd,"(35.55707326637171, -82.63893069143252)"
1055 Patton Ave,"(35.58684518423399, -82.59324959787884)"
109 Roberts St,"(35.5870021, -82.5670803564613)"
11 Vermont Ave,"(35.57811564717508, -82.59459419799046)"
120 N Lexington Ave,"(35.59834924548904, -82.5538107952288)"
121 Bartlett St,"(35.58266026631286, -82.56148469453628)"
125 Hill St,"(35.594567970496584, -82.56386675779298)"
130 N Lexington Ave,"(35.598451983073275, -82.55385096330684)"
1325 Tunnel Rd,"(35.583609370718484, -82.46679419037525)"
145 W Haywood St,"(35.590368173832445, -82.56955421551712)"
146 Roberts St,"(35.58606365136403, -82.56597123267382)"
16 Crowell Rd,"(35.5608121, -82.63818985)"
175 Lyman St,"(35.58433327308214, -82.56417315243428)"
188 Patton Ave,"(35.593352671612145, -82.559660531679)"
19 N Ann St,"(35.593802569431844, -82.56009727292096)"
199 Sweeten Creek Rd,"(35.552105, -82.519979)"
200 Azalea Rd E,"(35.57682710023219, -82.47651189520563)"
211 S French Broad Ave,"(35.586444983304574, -82.55950951971279)"
22 College St,"(35.5949195, -82.5546236496904)"
297 Haywood St,"(35.592863988216315, -82.56273780285376)"
298 Smokey Park Hwy,"(35.560448, -82.635728)"
336 Hilliard Ave,"(35.591093, -82.56029)"
34 Cherry St N,"(35.599193200328074, -82.55555198068099)"
4 Roberts Rd,"(35.55493685, -82.51997681365653)"
40 Avon Rd,"(35.58854278529753, -82.5041701388728)"
439 Azalea Rd E,"(35.5814006831614, -82.49035160744467)"
44 Central Ave,"(35.571570540252935, -82.62345805651795)"
464 Haywood Rd,"(35.577740683568024, -82.58213751705749)"
49 Tunnel Rd,"(35.587505968328934, -82.49433470695845)"
5 Riverside Dr,"(35.584586590088335, -82.5664319423122)"
50 Cherry St N,"(35.59871872818078, -82.55636543824355)"
50 Martin Luther King Jr Dr,"(35.594300641252886, -82.54334297862133)"
60 Ravenscroft Dr,"(35.59079451724138, -82.5537945)"
67 Patton Ave,"(35.594714124999996, -82.55379179166667)"
675 Patton Ave,"(35.5938691, -82.5576519)"
 68 Rankin Ave,"(35.59668772768581, -82.55385358735032)"
8 Emma Rd,"(35.5968103, -82.5870302)"
800 Fairview Rd,"(35.565275, -82.51013)"
82 Craven St,"(35.587250828406766, -82.57317465298263)"
88 Cherry St N,"(35.47734166916653, -82.51836303895679)"
